P1,P2,P3,P4,P5,C ,D 
29.4,282.8,5.05,2015,1,248146.8,63
27.27,493.5,5.05,2014,1,295539.84,77
31.93,774,11,2011,1,363756.636,89
51.51,477.75,6.06,2014,1,305529.18,64
100,1549.38,15.6,2012,1,529816.14,90
105,1525.43,15.45,2014,1,595896.46,118
79,954.45,12.24,2012,1,407676.94,78
43.05,542.64,8.32,2012,1,259087.5936,67
44.72,544,6,2014,1,290659.4,69
93.6,742.63,13.65,2015,1,587685.12,87
40.56,530.25,8.4,2014,1,317855.94,77
47.84,479.4,7,2014,1,289523.52,67
39.14,530,7.14,2010,1,212879.1544,66
69.68,1161.5,11.44,2011,1,439806.8448,106
68.34,1196,10.5,2011,1,383161.2862,81
66.3,892.5,15.15,2010,1,327924.6432,78
74,1758.75,11.33,2014,1,705650.48,124
56.16,1190.79,10.5,2014,1,441603.36,79
72.8,944.32,10.3,2014,1,520588.2,93
32.96,636.3,6.12,2014,1,353823.54,80
73.5,119,10.5,2015,1,324231.6,58
72.8,896.1,11,2010,1,335433.0144,76
33.6,630,6.18,2010,1,221070.5574,69
